,text
16,RT @brunotavares90: Alá a professora traficante de Mean Girls e a mãe da Regina George apresentando o Golden Globes &lt;333
17,Tina Fey y Amy Poehler las presentadoras de los #GoldenGlobes....
18,@diagiraldo presentando los Golden Globes.
19,#GoldenGlobes I love the fashion and the presenters !
20,Tina Fey y Amy Poehler son las presentadoras de los #GoldenGlobes http://t.co/1KOjpY1s
21,Jajaja que buena pareja para presentar los Golden Globes
22,Comienza la Gala de los #GoldenGlobes con las presentadoras de la edicion de este año: Tina Fey y Amy Poehler!! Risas aseguradas....
23,RT @brunotavares90: Alá a professora traficante de Mean Girls e a mãe da Regina George apresentando o Golden Globes &lt;333
24,RT @Versace: Presenter &amp; Oscar Award winner Halle Berry is showstopping in a printed gown from Atelier Versace Fall 2012 at the Golden Globes right now!
25,RT @Scandal_Moments: Kerry Washington at the 2013 Golden Globes wearing vintage Movado! (KW will be presenting at the awards show. http://t.co/8RdxUCfO
26,A apresentadora disse isso mesmo? Hahahaha! #GoldenGlobes
27,RT @OGlobo_Cultura: Globo de Ouro no ar (canal TNT). Mal começou e a apresentação de Tina Fey e Amy Poehler já está arrancando gargalhadas #GoldenGlobes
28,Começo com muita comédia! Nada como apresentadoras de qualidade. #GoldenGlobes
29,Tina Fey and Amy Poehler - perfect presenters. #goldenglobes
30,Madre mía con las presentadoras! Jajajajajajajajajajaja #GoldenGlobes
31,#GoldenGlobes las presentadoras son muy sinceras
32,COMO QUE ROBERT PATTINSON VA A PRESENTAR UN PREMIO EN LOS GOLDEN GLOBES?! Son los unicos premios que no puedo ver y me hacen esto!!!
33,"Además de ser las presentadoras de la noche, Tina y Amy son nominadas de la noche y ¡Tina se ve guapísima! #GoldenGlobes"
34,Jajaja son un mate de risa las presentadoras #GoldenGlobes
35,"Tina Fey: ""Anne Hathaway, no te había visto tan abandonada en escena desde que presentaste los Oscars con James Franco"" FAN #GoldenGlobes"
36,Awwwww la rossa che presenta i #GoldenGlobes ha parlato della straordinaria performance di Anne #Hathaway in #LesMiserables ♥
37,las presentadoras de los #GoldenGlobes me caen muy bien. buenos y graciosos comentarios.
38,Melhores apresentadoras ever! #GoldenGlobes
39,RT @taniaburrito: Tina Fey and Amy Poehler - perfect presenters. #goldenglobes
40,amando a apresentaçao dessas duas kkkkkkkkkkkkkk #goldenglobes
41,RT @Keyther: FUERON MAS DE 9 LOS #TotalLook ESTILO #PrincesasCuentosDeHadas HOY EN LOS #GoldenGlobes! PERO PRESENTADOS EN CAMARA SOLO PUDE VER ESOS.
42,RT @azizansari: I'm presenting at the Golden Globes tonight. The lovely and hilarious Amy Poehler and Tina Fey are hosting. You should watch!
43,Golden Globes! Los chistes de Fey Poheler se roban la presentación !!
44,Por enquanto Tina Fey e Amy Poehle estão ótimas como apresentadoras! Alfinetando todo mundo. #goldenglobes
45,"'nao vamos ofender ngm hj, pq nos vimos oq acontece qd se ofende as celebridades no golden globes, vc eh chamado p apresentar mais 2 vezes'"
46,Primera vez que me rio de los chiste de las presentadoras de los premios #goldenglobes
47,"Me encantan estas presentadores, química total #GlobosdeOro #GoldenGlobes"
48,Amy pohler y Tina fey son las mejores presentadoras del mundooooooo #GoldenGlobes #snllove
49,I'm LOVING @amypoehler's first red presenting dress. Want it. #GoldenGlobes #puffsleevesforlife #clevercleavage
50,Los #GoldenGlobes comenzaron hace unos minutos y sus presentadoras #TinaFey y #AmyPoehler tienen a todos riéndose!
51,"Gosto da Tina Fey, mas não ta sendo feliz apresentando o #GoldenGlobes"
52,"""Do the finger, do the FINGER!!!"" AMANDO Tina e Amy como apresentadoras! #GoldenGlobes"
53,"Spunk Ransom - Rob Presents at the 2013 Golden Globes Awards Live in Beverly Hills, CA (MQ Pictures Only) http://t.co/RINN9AxA"
54,Haha the golden globes are great this year. All because of these awesome women presenters.
55,Bradley Cooper y Kate Hudson a presentar mejor actor de reparto #GlobosDeOro #GoldenGlobes
56,Tina Fey y Amy Poehler  funcionan muy bien en la presentación de los #GoldenGlobes No he parado de reír!
57,RT @livraz: Piadas de apresentação do Golden Globes &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; qualquer stand up atual.
58,"Amy Poehler presentando a Kate Hudson,mi idiola presentando a mi archienemiga #goldenglobes"
59,"#GoldenGlobes supporting actor, apresentado por kate hudson e bradley cooper"
60,"RT @dtriado: Poden Tina Fey i Amy Poehler presentar-ho tot sempre?, please! #GoldenGlobes"
61,"#goldenglobes Well, this will be the most beautiful presenter pairing of the night. Holy crap these people aren't human!"
62,Acabou o monólogo do #GoldenGlobes. E  temos a primeira categoria. Kate Hudson e Bradley Cooper apresentam o ator coadjuvante em filme drama
63,#GoldenGlobes wow. American presenters have had WAY too much redbull
64,#JenniferLópez presentando los Premios Golden Globes 2013..Luce Espectacular!.. http://t.co/dLaxfcGQ
65,RT @nbc: Our first presenters - Bradley Cooper and Kate Hudson! #GoldenGlobes
66,"RT @hola: Una pareja de guapos, Kate Hudson y Bradley Cooper, son los primeros presentadores de la noche #GlobosdeOro #GoldenGlobes"
67,"RT Kate Hudson y Bradley Cooper, son los primeros presentadores de la noche #GlobosdeOro #GoldenGlobes"
68,@DebbieZoller1 @NathanFillion @JefeMuchoGrande Amen2that.The 2 most handsome men on the Red Carpet &amp; the whole #goldenglobes #presentersrock
69,"""@hola: Comienza la gala con muchas risas provocadas por las presentadoras Tinay Fey y Amy Poehler #GlobosdeOro #GoldenGlobes"""
70,@ahoner thanks amanda! bradley cooper and kate hudson start the presenters off looking smashing! #goldenglobes
71,"“@ESQUIZOFRENIA22: Tina y Amy como presentadoras, muy buen humor, en los #GoldenGlobes”// estuvieron increibles!!"
72,Muy bien por las presentadoras de los #GoldenGlobes.
73,"Kate Hudson presenting an award, looking AMAZING and knowing it, was just about the sexiest thing ever. #GoldenGlobes"
74,Horribles! jajaa RT @JorgeRochax: Mierda que fea son las presentadoras del Red Carpet de los Golden Globes de E!
75,Que James Franco presentara los Oscar 2011 formaba parte de un plan: que Fey &amp; Poehler hicieran un magnífico chiste en estos @goldenglobes.
76,RT @JavierFP82: Amy y Tina podían presentar a partir de ahora todas las galas habidas y por haber #goldenglobes
77,"RT @hola: Una pareja de guapos, Kate Hudson y Bradley Cooper, son los primeros presentadores de la noche #GlobosdeOro #GoldenGlobes"
78,"Dennis Quaid and Kerry Washington presenting for best supporting actress in a series, mini-series or tv movie. #goldenglobes"
79,Bradley Cooper was the silver lining to that award presentation. #GoldenGlobes
80,@kerrywashington as a presenter was the most exciting thing to happen to me all day #goldenglobes #gwu
81,RT @azizansari: I'm presenting at the Golden Globes tonight. The lovely and hilarious Amy Poehler and Tina Fey are hosting. You should watch!
82,@TheEllenShow DENNIS QUAID IS HERE! On my screen presenting at the Golden Globes.
83,I never want #amyandtina to leave the screen. Why do we need separate presenters? #GoldenGlobes
84,"#GoldenGlobes que cómicas, presentan muy bien! http://t.co/qUIiNlf7"
85,RT @pepecolubi: Que James Franco presentara los Oscar 2011 formaba parte de un plan: que Fey &amp; Poehler hicieran un magnífico chiste en estos @goldenglobes.
86,RT @msleamichele: So excited and honored to be presenting at the Golden Globes this year!! #GoldenGlobes
87,RT @hola: Comienza la gala con muchas risas provocadas por las presentadoras Tinay Fey y Amy Poehler #GlobosdeOro #GoldenGlobes
88,@vampirediaries where are you all tonight?  I see no one representing you all at the Golden Globes!!  Surely you all will be winners! ; )
89,Me informan desde la central que Iván Peña no quiso presentar los Golden Globes porque dejó en Nicaragua su bolso de maquillaje.
90,RT @nbc: Our first presenters - Bradley Cooper and Kate Hudson! #GoldenGlobes
91,I think Mariska Hargitay &amp; Christopher Meloni should be presenters &amp; do a suprise kissing or flirting sessions. #JustSaying (; #GoldenGlobes
92,"gostei das apresentadoras, tão bem! #GoldenGlobes"
93,"For once I want the presenters to say: ""we accept this award on their behave...and we're never giving it back!"" #GoldenGlobes"
94,RT @pepecolubi: Que James Franco presentara los Oscar 2011 formaba parte de un plan: que Fey &amp; Poehler hicieran un magnífico chiste en estos @goldenglobes.
95,"Que buena la presentación de Amy Poehler y Tina Fey in los #goldenglobes, no agresiva, no grosera y my chistosa"
96,"RT @XimeDixi: Un dia, no muy lejano, Robert va a estar en los Golden Globes pero no como presentador si no como nominado y ganador."
97,Why was Bruce Jenner presenting with Kerry Washington on the #GoldenGlobes? Oh..that was Dennis Quaid.
98,Já começou o #GoldenGlobes?? No E! tá os apresentadores do Fashion Police falando dos vestidos.
99,Ya quiero ver a Robert presentando el premio asdfghjkl #GoldenGlobes
100,"RT @sinboxer: No sé qué da más risa, si una oruga o los chistes de las presentadoras de los Golden Globes."
101,"RT @XimeDixi: Un dia, no muy lejano, Robert va a estar en los Golden Globes pero no como presentador si no como nominado y ganador."
102,"RT @XimeDixi: Un dia, no muy lejano, Robert va a estar en los Golden Globes pero no como presentador si no como nominado y ganador."
103,RT @pepecolubi: Que James Franco presentara los Oscar 2011 formaba parte de un plan: que Fey &amp; Poehler hicieran un magnífico chiste en estos @goldenglobes.
104,RT @ixSEANxi: Dennis Quaid presents Golden Globe wile Randy Quaid cooks his dinner in a toilet. #GoldenGlobes
105,@canalplusespana #goldenglobes #globosdeoro fantásticas las presentadoras en su primera intervención
106,"RT @XimeDixi: Un dia, no muy lejano, Robert va a estar en los Golden Globes pero no como presentador si no como nominado y ganador."
107,"RT @XimeDixi: Un dia, no muy lejano, Robert va a estar en los Golden Globes pero no como presentador si no como nominado y ganador."
108,I didn't know Kim Kardashian was presenting. #GoldenGlobes
109,Ese momento en el que presenta y no te hace caso ni Dios. #goldenglobes
110,Don Cheatle is presenting for the golden Globes! Dying from the feels
111,"Game Change se lleva el Globo de Oro a mejor TV Movie. Desde luego, bastante bien representada la figura de Palin #GoldenGlobes"
112,Don cheadle is testifying before congress on iron man 2 and presenting at the @goldenglobes...technology is amazing...
113,Eva Longoria presenting at the Golden Globes. Mark Sanchez's first butt fumble this season.
114,RT @YoshikiOfficial: http://t.co/CLvf9y3f　Golden Globes News! I'm presenting the award on stage!! Can't tell you what category but Watch the show!! Love you!
115,"RT @CarlosBlare: Por cierto, miren quien escoge a los presentadores de la #redcarpet, porque a cual peor. 
#GoldenGlobes"
116,"Geez, actors are really rude. They're talking so loud I can hear them over the presenters. Brings back my teaching days. #goldenglobes"
117,RT @LuSapena: Eva Longoria presentando a la hija de Clint Eastwood y el hijo de Michael J Fox #GoldenGlobes @Villamorra
118,RT @nbc: Our first presenters - Bradley Cooper and Kate Hudson! #GoldenGlobes
119,Eva Longoria y Don Cheadle presentan el premio a Mejor Miniserie o Película para TV. 'Game Change' se lleva el #GoldenGlobes
120,Tina and Amy did a great job in the presentation of the #GoldenGlobes I wanna see more.
121,Que fue eso de que presentaron a una pareja que eran familiares de Clint Eastwood y Michael J. Fox? #GoldenGlobes
122,"Julianne Moore representing Tom Ford. Best dressed of the night, hands down! #goldenglobes"
123,@EvaLongoria truly representing Latina women beauty! #GoldenGlobes
124,#GoldenGlobes sonaba The Kills en la presentación de Political Animals.
125,RT @gbelinchon: Momento frío de la noche: la presentación de la pareja GoldenGlobes. El hijo de Michael J. Fox y la hija de C. Eastwood y F. Fisher
126,RT @ixSEANxi: Dennis Quaid presents Golden Globe wile Randy Quaid cooks his dinner in a toilet. #GoldenGlobes
127,"I get that it's a sophisticated event, but could the hosts at least try to sound a little more enthusiastic when presenting? #goldenglobes"
128,I feel old &amp; nostalgic seeing Michael J Fox's son as an Award presenter #GoldenGlobes
129,Everyone keeps talking over the presenters #GoldenGlobes
130,That is the way all no-shows at award shows should be represented. #GoldenGlobes #faketeeth
131,"RT @PowerPendejo: Aristobulo se queja de los pitiyankees y míralo, presentando un premio en los #GoldenGlobes... ¿CÓMO QUE ESE NO ES ARISTOBULO?"
132,"Catherine Zeta-Jones, espectacularmente sexy presenta una de las películas nominadas : Les Misérables #GoldenGlobes"
133,"""Do we all have to sing now?"" - all presenters but Catherine Zeta Jones #GoldenGlobes"
134,"Já posso amar esse ano pra sempre, Catherine apresentando Les Mis e cantando. Supera como um trem desse?! #GoldenGlobes"
135,Hollywood is saluting the late Anna Nicole Smith by requiring female presenters to expose the skin between their breasts. #GoldenGlobes
136,"RT @Fake_Rockstar: ""Do we all have to sing now?"" - all presenters but Catherine Zeta Jones #GoldenGlobes"
137,Lo mejor hasta el momento y por muuuuucho...Kate Hudson. #GoldenGlobes #yosoloanalizopresentadoras #nohevistolaspelis
138,What if nobody showed up for the Golden Globes and all the presenters had to accept all the awards on their behalves?
139,"Before the show they had every presenter practice the correct way to pronounce ""Les Miserables"" 100 times #GoldenGlobes"
140,Catherine Zeta Jones... presenta Les Misérables  #GoldenGlobes
141,RT @ANNZac: Every time they show a wide shot in a Les Miserables clip reel it's a wild and unfair misrepresentation of that film #GoldenGlobes
142,"Tip to the presenters: It's pronounced ""Lay Mizz-ur-ahb."" Learn from my mistakes. #GoldenGlobes"
143,RT @YoshikiOfficial: http://t.co/CLvf9y3f　Golden Globes News! I'm presenting the award on stage!! Can't tell you what category but Watch the show!! Love you!
144,"RT @denisse17329867: Hi, I am Robert Pattinson y se que moriras y quedaras sin ovarios al verme presentar :) #GoldenGlobes"
145,RT @Povalles: Catherine Zeta-Jones presentando la increíble Les Miserables #GoldenGlobes
146,"RT @XimeDixi: Un dia, no muy lejano, Robert va a estar en los Golden Globes pero no como presentador si no como nominado y ganador."
147,"Watching the 70th annual Golden Globes live, all my Fav Celebrities including Rob Pattinson!😘 Are presenting http://t.co/OEnxmFPi"
148,RT @msleamichele: So excited and honored to be presenting at the Golden Globes this year!! #GoldenGlobes
149,"RT @hola: Una pareja de guapos, Kate Hudson y Bradley Cooper, son los primeros presentadores de la noche #GlobosdeOro #GoldenGlobes"
150,"RT @denisse17329867: Hi, I am Robert Pattinson y se que moriras y quedaras sin ovarios al verme presentar :) #GoldenGlobes"
151,"RT @PowerPendejo: Aristobulo se queja de los pitiyankees y míralo, presentando un premio en los #GoldenGlobes... ¿CÓMO QUE ESE NO ES ARISTOBULO?"
152,Catherine Zeta-Jones presenta el clip de Les misérables que opta al Globo de Oro a la mejor comedia/musical  #goldenglobes
153,Is Nene presenting? #GoldenGlobes
154,"Por primera vez puedo decir que la presentadora de Canal + sabe de lo que habla y me encanta, que repita en los Oscars #GoldenGlobes"
155,RT @spunk_ransom: Another Commercial! Catch up!: Rob Presents at the 2013 Golden Globes Awards (Master Post) http://t.co/MZEwZD90
156,I am. 😑 RT @vulture: So is every presenter going to sing Les Mis? (Not totally mad at that idea.) #goldenglobes
157,Does anyone know when #RobertPattinson is presenting at the #GoldenGlobes !?!?
158,"Muy divertida con las presentadoras, Tina Fey y Amy Poehler, muy fan de ambas. :) http://t.co/GlMN4MlQ #GetGlue @goldenglobes"
159,#Google #Hot #Trend Golden Globes 2013 Live Stream &amp; Red Carpet Arrivals: Presenters Robert... http://t.co/ZI2GsMLB #NowFollowing Sooo
160,RT @azizansari: I'm presenting at the Golden Globes tonight. The lovely and hilarious Amy Poehler and Tina Fey are hosting. You should watch!
161,Recuerden que Lea Michele presentará una categoría en los Golden Globes. Increíblemente hermosa en la alfombra roja: http://t.co/3JYzKVY7
162,"No se ustedes, pero para mi, los chistes de las presentadoras de los #GoldenGlobes son muy aburridos."
163,"RT @hola: Una pareja de guapos, Kate Hudson y Bradley Cooper, son los primeros presentadores de la noche #GlobosdeOro #GoldenGlobes"
164,It's so awkward when you can hear everybody continue talking while someone presents an award. #GoldenGlobes
165,"“@videogum: This year's Golden Globes is presented by Tim and Eric. #GoldenGlobes” why? is it great? I don't ""hate watch."" #growup"
166,".@HollyTNTLA comenta los chistes de las presentadoras de los #GoldenGlobes
 http://t.co/KnX6oH36"
167,Downtown Abbey yay my favorite show...maggie smith she never presents at hollywood that's weird..! #GoldenGlobes
168,I'm confused by these weird ass presentations #goldenglobes
169,"Rosario Dawson apresenta O Exótico Hotel Marigold, na disputa por Melhor Filme - Comédia ou Musical. #GoldenGlobes"
170,"That pair, is extraordinaire.  

“@nbc: Our first presenters - Bradley Cooper and Kate Hudson! #GoldenGlobes”"
171,Rosario Dawson presenta una de las películas nominadas en categoría comedia o musical: The Best Exotic Marigold Hotel #GoldenGlobes
172,RT @BriguySalisbury: Is the AC in the room cranked way up or will people just not STFU when presenters are talking? #AmpleAmbient #GoldenGlobes
173,"Cristian no me vas a sacar los Golden Globes. No antes de que Lea de la presentacion, NO!"
174,RT @XJapanVzla: ¿Ya sintonizaron a los Golden Globes Awards? Les recomiendo que los vean porque Yoshiki estará presentando un... http://t.co/onLsFdNt
175,pero donde estaba toda esta gente q presenta en el momento de la alfombra roja? #goldenglobes
176,I'm telling you: ALL THE POC PRESENTING BACK TO BACK. Do you believe me now? We don't get nominated; but we can give awards. #goldenglobes
177,The only way Selma Hayek gets on stage for golden globes...As a presenter.  #GoldenGlobes
178,"RT @DougBenson: I wish every presenter would start by singing a few lines from LES MIZ. Or LES MISERABLES, since I have plenty of characters. #GoldenGlobes"
179,Loving the dresses everyone is wearing at the #GoldenGlobes even the presenters.
180,Presenting the #GoldenGlobes dessert buffet. http://t.co/vV3XQUmV
181,Damian Lewis representando a raça ruiva. #goredheads #GoldenGlobes
182,Rob presentara mejor guion adaptado con Amanda S. ahaslasjkdskls #GoldenGlobes
183,"So ""improv skills"" not part of the ""presenter"" job description, I take it. #goldenglobes"
184,"RT @LuSapena: yo ví ""El exótico Hotel Marigold"" en @Villamorra ahora presentan el trailer en #GoldenGlobes :)"
185,Ahora presentan el premio a Mejor Serie de TV Drama en los #GoldenGlobes
186,presenter fail!! #goldenglobes
187,why are salma hayek and paul rudd the most awkward #goldenglobes presenters of all time?!
188,E o TP não entra pra desespero dos apresentadores #GoldenGlobes
189,RT @AndreCullenSwan: Rob Presentará junto a Amanda Sayfried la categoría mejor Guión adaptado #GoldenGlobes
190,Okay I want the presenters to be drunk not the production team thank you. #GoldenGlobes #awkward
191,RT @AndreCullenSwan: Rob Presentará junto a Amanda Sayfried la categoría mejor Guión adaptado #GoldenGlobes
192,SERIOUSLY? You can't function without the teleprompter? Why are you even presenting? #goldenglobes
193,I guess improv isn't a skill of the presenting actors at the #GoldenGlobes!
194,Ok all the presenters are actors - surely they could remember a few lines in case of teleprompter going out! LOL #GoldenGlobes
195,"Prompter malfunction? They don't even know what category they're presenting. Nonetheless, an awesome intro. #GoldenGlobes"
196,The order in which they're presenting these awards is just ... inexplicably bizarre. #goldenglobes
197,"what the hell Salma Hayek didn't even say anything at the Golden Globes, during her presentation, watch all over the media yikesssssssssss"
198,What is with the presenters/presenting tonight?? #GoldenGlobes
199,Why did they give out best drama series before they presented best actress in a drama series? #GoldenGlobes
200,That awkward moment when the teleprompter doesn't work and you don't know what award you're presenting #goldenglobes
201,I feel like the #GoldenGlobes is chaotic right now!! Maybe it's the amount of people on the stage representing #homeland.  #GoldenGlobes
202,that guy who presented made that huge embarassing mistake kinda cute tho #goldenglobes
203,Paul Rudd should get TWO #goldenglobes presenter gift bags for saving the day! #somethingabout
204,When TelePrompTer fail!.. Smh.. Presenters should have a info card in hand for those moments #GoldenGlobes
205,Some of these presenters couldn't adlib their way out of a failed teleprompter. And they didn't. #GoldenGlobes
206,Seems presenters at #GoldenGlobes have something in common with POTUS ... totally lost without teleprompter
207,"Have no clue who any of these people are, the shows or movies represented. #GoldenGlobes #ShelteredLife"
208,RT @denisse17329867: Rob presentara mejor guion adaptado con Amanda S. ahaslasjkdskls #GoldenGlobes
209,RT @AndreCullenSwan: Rob Presentará junto a Amanda Sayfried la categoría mejor Guión adaptado #GoldenGlobes
210,RT @larry411: HFPA just realized they don't need presenters #GoldenGlobes
211,"Best drama series... Paul Rudd clueless, 2 late presenters show up during speech #GoldenGlobes #opps"
212,"RT @AshantiBlaize: “@OMGFacts: There’s a lawyer in Switzerland who represents ANIMALS in court!"" Just wanted to break up the #GoldenGlobes tweets. Lol"
213,"Gotta admit, I love @rosariodawson &amp; presenting at #GoldenGlobes is great but somebody needs to give her great staring roles. Now, please?"
214,"RT @GloriaFallon123: If the teleprompter breaks, pray you're not presenting with Salma Hayek. #GoldenGlobes"
215,@Tahleen I thought that too... they were presenting two though? #noexcusesreally  #goldenglobes
216,"O prêmio de melhor filme é dividido em comédia/musical e drama. Já apresentaram ""O exótico hotel Marigold"" e ""Os Miseráveis"". #GoldenGlobes"
217,"RT @GloriaFallon123: If the teleprompter breaks, pray you're not presenting with Salma Hayek. #GoldenGlobes"
218,@jonathanwald Teleprompter broke &amp; apparently Selma Hayek &amp; Paul Rudd had no idea what award they were presenting. Oops. #GoldenGlobes
219,RT @Patt_Thomas: Robert presentará la categoría 'Mejor adaptación de Guión' junto a Amanda Seyfried  -&gt; http://t.co/AXLT4Uze - Vía @RPLife
220,I hope Clint Eastwood's chair presents an award #goldenglobes
221,"Yo solo veo los Golden Globes para ver a Lea Michele presentando el premio. Si no hay #Glee, no vale la pena!"
222,RT @josephperson: Homeland gets best drama on Golden Globes. #Charlotte representing.
223,Please TO the gods of all celebs...please make Rob drink 3 more beers brfore he presents. I love drunk Rob. Amen. #goldenglobes
224,"RT @HugoHuerta: Según yo, la tía ñera de Salma fue a los #GoldenGlobes en su representación."
225,RT @josephperson: Homeland gets best drama on Golden Globes. #Charlotte representing.
226,"RT @Team_TwilightBr: Segundo as informações que temos Rob irá apresentar ""Melhor Roteiro Adaptado"" junto com a Amanda S. #GoldenGlobes"
227,La Asociación de la Prensa Extranjera en #Hollywood representa a 55 países y un aproximado de 250 millones de lectores #GoldenGlobes
228,"No se han entregado ni la mitad de premios #GoldenGlobes y ya han salido 3 latinas a presentar: Longoria, Salma y Dawson"
229,"RT @Team_TwilightBr: Segundo as informações que temos Rob irá apresentar ""Melhor Roteiro Adaptado"" junto com a Amanda S. #GoldenGlobes"
230,RT @josephperson: Homeland gets best drama on Golden Globes. #Charlotte representing.
231,"RT @GloriaFallon123: If the teleprompter breaks, pray you're not presenting with Salma Hayek. #GoldenGlobes"
232,"RT @Team_TwilightBr: Segundo as informações que temos Rob irá apresentar ""Melhor Roteiro Adaptado"" junto com a Amanda S. #GoldenGlobes"
233,RT @thereaderfilm: Favorite part of the Golden Globes? The chatter from the crowd you hear when the presenters speak. EVEN THE PEOPLE THERE DON'T CARE.
234,"RT @Team_TwilightBr: Segundo as informações que temos Rob irá apresentar ""Melhor Roteiro Adaptado"" junto com a Amanda S. #GoldenGlobes"
235,RT @larry411: HFPA just realized they don't need presenters #GoldenGlobes
236,"RT @TwiVotacoes: RT @Team_TwilightBr
Segundo as informações que temos Rob irá apresentar ""Melhor Roteiro Adaptado"" junto com a Amanda S. #GoldenGlobes"
237,John Goodman y el verdadero Tony Mendez presentan #ARGO! #GlobosDeOro #GoldenGlobes
238,"CARA, ISSO JA TA FICANDO CANSATIVO, #GoldenGlobes CADE MINHA LEA APRESENTANDO EIN"
239,"RT @TwiVotacoes: RT @Team_TwilightBr
Segundo as informações que temos Rob irá apresentar ""Melhor Roteiro Adaptado"" junto com a Amanda S. #GoldenGlobes"
240,"RT @Team_TwilightBr: Segundo as informações que temos Rob irá apresentar ""Melhor Roteiro Adaptado"" junto com a Amanda S. #GoldenGlobes"
241,Pedro Picapiedras presentando un #Goldenglobes
242,"RT @GloriaFallon123: If the teleprompter breaks, pray you're not presenting with Salma Hayek. #GoldenGlobes"
243,"Lo presenta Pedro Picapiedra, por cierto #GoldenGlobes"
244,RT @anamariabahiana: o personagem verdadeiro de Argo apresenta o filme..#cool #GoldenGlobes
245,Just presenting? I really thought Goodman was bigger than that  #GoldenGlobes #sorry
246,"RT @L_MarysEyebrows: Well, that was a Pamuk'd presentation for Best Drama????? Congrats to Homeland. ^^ #goldenglobes #downtonPBS"
247,What better way to be saluted than co-presenting at the #GoldenGlobes  with John Goodman?
248,John Goodman e Tony Mendez apresentam Argo. Mendez é o agente da CIA q foi vivido por Ben Affleck no filme! #GoldenGlobes
249,"Tony Méndez presenta ""Argo"" en los #GoldenGlobes"
250,RT @LaCasaDeCine: El verdadero Tony Mendez presenta la primera nominada a Mejor Película Drama: #ARGO en los #GoldenGlobes
251,Ben Affleck even gets screwed by the presenters #GoldenGlobes
252,#JasonStraitham is such a dreamboat. #JenniferLopez is okay too #goldenglobes presenters
253,so many awkward presenters tonight. also I fucking hate jlo. #GoldenGlobes
254,"I dunno why, but it's hilarious to me that Jason Statham is presenting at the #GoldenGlobes."
255,Piece on Argo with Ben Affleck followed by J.Lo presenting. Awkward. #Bennifer  #GoldenGlobes
256,The real Tony Mendez (as played by Ben Affleck in Argo) clearly hasn't done much award presenting.The CIA needs to prioritize. #goldenglobes
257,#TonyMendez presents #Argo....so does #JLo...awkward? #GoldenGlobes
258,Anybody else find it incredibly awkward that JLo is presenting an award after Ben's movie nomination...? #goldenglobes
259,Since Statham presented at the #goldenglobes does that mean he is no longer a B-rated star? #nope
260,Robert vai apresentar com a Amanda alguem cofirma isso!? #GoldenGlobes
261,Incredible that the presenters are wearing more beautiful dresses than the nominees #GoldenGlobes #Fashionpolice
262,"#goldenglobes update: Teleprompter breaks while Paul Rudd presents, people who get Showtime like Homeland, and Tony Mendez needs a mic."
263,As duplas que estão apresentando os prêmios no #GoldenGlobes combinam perfeitamente no quisto beleza de sobra.
264,RT @alotofnothing: I'm kind of pissed off that Poehler &amp; Fey aren't presenting all of the awards. Where can I get my money back? #GoldenGlobes
265,RT @ST_Culture: The real Tony Mendez (as played by Ben Affleck in Argo) clearly hasn't done much award presenting.The CIA needs to prioritize. #goldenglobes
266,RT @eonline: We're not sure what award J.Lo was presenting. We were a little distracted. #haygirl #GoldenGlobes http://t.co/gKPhfmwo
267,RT @eonline: We're not sure what award J.Lo was presenting. We were a little distracted. #haygirl #GoldenGlobes http://t.co/gKPhfmwo
